id,datetime,user,post_id,like_n,comment_n
,2024-09-15 23:04:49,patobullrich,C_9KAsoueMc,4100,147
1.0,2024-08-23 03:58:05,kamalaharris,C-_4azsqsRe,632000,44900
2.0,2024-08-06 14:34:03,kamalaharris,C-VNhQYO01b,1200000,55600
3.0,2024-07-25 12:29:41,kamalaharris,C92H8vZgglE,1400000,85000
4.0,2024-09-11 02:27:03,kamalaharris,C_wpN97Ph8Z,221000,3163
5.0,2024-09-11 02:01:09,kamalaharris,C_wmJ8TBq5u,527000,14900
6.0,2024-09-10 22:45:12,kamalaharris,C_wP1D6Mte3,179000,5090
7.0,2024-09-10 18:03:04,kamalaharris,C_vvip2uXkX,417000,5522
8.0,2024-09-10 11:22:04,kamalaharris,C_vBpiXMwgQ,500000,13000
9.0,2024-09-09 21:51:33,kamalaharris,C_tk28HNft0,191000,6139
10.0,2024-09-09 19:49:04,kamalaharris,C_tW4IOJNo2,68600,1431
11.0,2024-09-09 16:53:03,kamalaharris,C_tCqVxvEyu,87900,3848
12.0,2024-09-08 20:47:04,kamalaharris,C_q4uHCPQsU,186000,4020
13.0,2024-09-08 18:27:14,kamalaharris,C_qot_itjnf,302000,4804
14.0,2024-09-08 17:08:03,kamalaharris,C_qflIio4kH,553000,16300
15.0,2024-09-08 15:39:14,kamalaharris,C_qVfjKuPL-,452000,5580
16.0,2024-09-07 19:57:04,kamalaharris,C_oOM4OMp4g,134000,3085
17.0,2024-09-06 22:54:05,kamalaharris,C_l9qomOksR,79800,5573
18.0,2024-09-06 15:54:06,kamalaharris,C_lNmiwNKhz,181000,3668
19.0,2024-09-06 01:42:04,kamalaharris,C_jsE3PMwIb,265000,7687
20.0,2024-09-05 23:48:19,kamalaharris,C_jep9Kvl55,178000,4428
21.0,2024-09-05 14:28:12,kamalaharris,C_ie-fwOlfV,145000,2968
22.0,2024-09-05 01:49:22,kamalaharris,C_hHhg_uXwB,346000,11300
23.0,2024-09-04 23:29:51,kamalaharris,C_g4K6DNfDI,46100,3260
24.0,2024-09-04 14:58:08,kamalaharris,C_f9m9huqtk,110000,3659
25.0,2024-09-03 19:06:06,kamalaharris,C_d1MM5v2WU,293000,4923
26.0,2024-09-03 14:50:42,kamalaharris,C_dX6tTMh-0,35700,2766
27.0,2024-09-03 02:32:47,kamalaharris,C_cDcJUv2bh,225000,4580
28.0,2024-09-03 01:20:19,kamalaharris,C_b7OVVsThC,162000,2738
29.0,2024-09-02 20:38:03,kamalaharris,C_ba4PeuHOo,113000,3829
30.0,2024-09-02 13:57:03,kamalaharris,C_atB6rtPkT,102000,2426
31.0,2024-09-01 20:05:04,kamalaharris,C_YyWTNAMTQ,197000,11400
32.0,2024-09-01 00:03:03,kamalaharris,C_Wot0HPOul,269000,17700
33.0,2024-08-31 23:31:09,kamalaharris,C_WlIzUvVBv,32600,2047
34.0,2024-08-31 21:45:05,kamalaharris,C_WZAA3su12,238000,3618
35.0,2024-08-31 20:29:04,kamalaharris,C_WQNW9quj-,90200,2369
36.0,2024-08-31 18:07:05,kamalaharris,C_WADTxtcvo,392000,8611
37.0,2024-08-30 13:28:03,kamalaharris,C_S7ObcNoIu,205000,6516
38.0,2024-08-30 00:10:36,kamalaharris,C_RgBzogufK,131000,4591
39.0,2024-08-29 23:40:34,kamalaharris,C_RcmXUgv1X,496000,10100
40.0,2024-08-29 19:28:04,kamalaharris,C_Q_uvculNF,169000,3348
41.0,2024-08-29 14:58:06,kamalaharris,C_Qgwj1Bpcj,411000,14600
42.0,2024-08-29 00:39:15,kamalaharris,C_O-jHltPhV,464000,6482
43.0,2024-08-28 19:30:07,kamalaharris,C_ObKxfvF2C,399000,4737
44.0,2024-08-28 16:00:43,kamalaharris,C_ODNOzNMKv,152000,2547
45.0,2024-08-27 21:11:08,kamalaharris,C_MB74xM19Z,173000,4082
46.0,2024-08-27 18:30:09,kamalaharris,C_LvgzaxWeF,235000,5445
47.0,2024-08-27 17:10:05,kamalaharris,C_LmQWoqu4K,53500,2047
48.0,2024-08-26 18:30:09,kamalaharris,C_JKt3PO3JO,242000,5389
49.0,2024-08-26 12:08:04,kamalaharris,C_Ie_ZONL0s,299000,3546
50.0,2024-08-25 20:38:37,kamalaharris,C_G0h4TPYzY,161000,4970
51.0,2024-08-23 16:06:53,kamalaharris,C_BL8NURpAp,527000,7994
52.0,2024-08-23 05:08:03,kamalaharris,C_AAihJsNEy,608000,8003
53.0,2024-08-23 04:02:02,kamalaharris,C-_4_HDMfAD,383000,4922
54.0,2024-08-22 18:48:05,kamalaharris,C--5lp8plBr,378000,4918
55.0,2024-08-22 03:16:45,kamalaharris,C-9O9TVxWml,209000,3733
56.0,2024-08-22 01:35:03,kamalaharris,C-9DPQqizUB,119000,2512
57.0,2024-08-22 01:05:03,kamalaharris,C-8_76SMdwH,182000,1768
58.0,2024-08-21 15:01:51,kamalaharris,C-761Cdi2s2,292000,6085
59.0,2024-08-21 13:01:08,kamalaharris,C-7tFvXMvrt,141000,1920
60.0,2024-08-21 06:16:16,kamalaharris,C-6-hosONa9,691000,8893
61.0,2024-08-21 03:56:10,kamalaharris,C-6tT42AAOk,380000,133
62.0,2024-08-21 03:29:02,kamalaharris,C-6rnpGOIif,776000,7707
63.0,2024-08-21 02:53:03,kamalaharris,C-6ndeAoAPi,103000,1977
64.0,2024-08-20 21:16:13,kamalaharris,C-6A8-WMUUk,339000,3356
65.0,2024-08-20 19:19:14,kamalaharris,C-5zkRuMaCC,145000,2041
66.0,2024-08-20 17:00:20,kamalaharris,C-5jrE2JOUu,160000,1065
67.0,2024-08-20 14:10:39,kamalaharris,C-5QMzVM_K-,115000,3517
68.0,2024-08-20 05:23:20,kamalaharris,C-4T4hYhX6L,210000,3475
69.0,2024-08-20 02:41:03,kamalaharris,C-4BQl7I4CP,143000,3190
70.0,2024-08-19 19:16:21,kamalaharris,C-3OcOtsTky,107000,2249
71.0,2024-08-19 02:35:15,kamalaharris,C-1b34Wun5I,133000,2542
72.0,2024-08-19 02:01:56,kamalaharris,C-1Xx5TOD6D,165000,4113
73.0,2024-08-18 19:38:16,kamalaharris,C-0sJ2iOTNH,316000,4477
74.0,2024-08-18 17:58:53,kamalaharris,C-0gyL6pbg2,770000,7969
75.0,2024-08-18 15:00:24,kamalaharris,C-0MWuBtEpx,84900,4747
76.0,2024-08-17 20:11:06,kamalaharris,C-yLB-7KF9b,87200,4299
77.0,2024-08-17 18:10:04,kamalaharris,C-x9K81C1-D,115000,4137
78.0,2024-08-17 15:34:03,kamalaharris,C-xraNkNLD0,923000,12000
79.0,2024-08-16 21:08:04,kamalaharris,C-vs1zmuBEM,68000,4753
80.0,2024-08-16 20:33:04,kamalaharris,C-vovRxtM3c,67000,2851
81.0,2024-08-16 19:46:05,kamalaharris,C-vjZA6hi0D,168000,5221
82.0,2024-08-16 19:15:06,kamalaharris,C-vf6bAsmPf,188000,6703
83.0,2024-08-16 17:30:07,kamalaharris,C-vT5dMs4FJ,79500,1527
84.0,2024-08-16 14:01:01,kamalaharris,C-u77YeI9By,54300,2100
