date,description,priority_rank,country
2023-12-13,Devaluacion,1,ar
2023-12-20,Anuncio DNU,1,ar
2023-12-28,Anuncio Ley de Bases,1,ar
2024-01-22,PARO General,2,ar
2024-02-07,Derrota Ley de Bases,2,ar
2024-02-13,Pelea Lali,3,ar
2024-02-22,Pelea Gobernadores,3,ar
2024-03-01,Inicio Congreso,1,ar
2024-03-14,Rechazo Senado DNU,2,ar
2024-04-12,Foto con Musk,3,ar
2024-04-23,Marcha Uni,1,ar
2024-05-09,Paro CGT,3,ar
2024-06-04,Crisis Petovello,1,ar
2024-08-14,Alberto Violento,3,ar
2024-09-11,Veto Jubilados,1,ar
2024-07-28,Fraude Maduro,3,ar
2024-09-20,Incendio Cordoba,2,ar
2024-09-16,Aumento Tren ,2,ar
2024-08-12,Aumento Colectivo,2,ar
2023-11-13,Debate Massa Milei,1,ar
2023-11-19,Elecciones ,1,ar
