id,datetime,user,txt,like_n,comment_n,retweet_n,view_n
1708285183995113749,2023-10-01 00:58:20,PatoBullrich,"BASTA DE MUERTOS EN EL FÚTBOL 
Lamento profundamente este brutal asesinato en Rosario. Mi corazón está hoy con la familia y los amigos de Ivana.
Como ministra de Seguridad, desde el primer día de gestión tuvimos la decisión de ir a fondo contra los violentos y criminales",3200,348,1400,118000
1708299409056846296,2023-10-01 01:54:52,PatoBullrich,"Ya en Santiago del Estero para el debate. ¡Gracias a todos por el apoyo! Mañana es un gran día para que todo el país escuche nuestras propuestas.

#EsAhora. Y es para siempre .",9600,1000,3000,231000
1708318794513264841,2023-10-01 03:11:54,JMilei,"AQUÍ TENÉS A LOS REPUBLICANOS DE JUNTOS POR EL CAMBIO...
Le pagan a un tipo para que diga una mentira por día sobre mi persona para tratar de ensuciarme y así bajarme...
Hacen esto con un pibe de Twitter por lo que Imagínate lo que deben hacer con los periodistas pauteros... https://x.com/TraductorTeAma/TraductorTeAma/status/1708285169679978518…",6500,378,1700,273000
1708324265286660162,2023-10-01 03:33:38,JMilei,"Javier Milei: “Patricia Bullrich está tercera cómoda y cada vez peor, está en caída” - Infobae",4000,557,666,161000
1708332961932751319,2023-10-01 04:08:12,JMilei,"¿Quieren rastrear a los periodistas ensobrados por Bullrich? Muy fácil, van y revisan los archivos donde los periodistas en cuestión repiten las cosas que tira Bracesco.
Por ejemplo el C5N Amarillo tiene a cinco periodistas que se nutren del siniestro personaje...
VLLC !!! https://x.com/TraductorTeAma/TraductorTeAma/status/1708285169679978518…",6400,453,1600,358000
1708427323425296454,2023-10-01 10:23:09,JMilei,ESTO ES JUNTOS POR EL CAMBIO https://x.com/TraductorTeAma/TraductorTeAma/status/1708285169679978518…,8100,543,2000,732000
1708523058858807734,2023-10-01 16:43:34,Kicillofok,"Luego de interiorizarme sobre la situación decidí aceptar, de forma inmediata, la renuncia de Martín Insaurralde al cargo de Jefe de Gabinete del Gobierno de la Provincia de Buenos Aires. Mi tarea es seguir liderando un gobierno al servicio del pueblo de la Provincia. Las",29000,0,8200,3200000
1708529990831116678,2023-10-01 17:11:07,AlvaroDelgadoUy,"Un resultado claro del manejo responsable de las cuentas públicas y de la baja de la inflación: el salario real ya es mayor a la prepandemia.  
Pero además, a pesar de las complejidades que enfrentamos, hoy las personas empleadas están en un máximo histórico.",604,275,188,54000
1708565476639436945,2023-10-01 19:32:07,Kicillofok,"Asumimos el compromiso de que la educación iba a volver a ser una prioridad en la provincia de Buenos Aires y podemos decir que cumplimos porque, en menos de cuatro años, ya construimos 201 nuevos edificios escolares y terminamos más de 6.100 obras de refacción y mejoras en",3500,0,1200,100000
1708567753488023803,2023-10-01 19:41:10,JuanGrabois,"Bien Axel. Se predica con el ejemplo y el ejercicio riguroso de la autoridad. Se conoció el hecho, se analizó su veracidad y en horas el gobernador tomó una resolución. No es moralina, es respeto al pueblo que no puede tolerar más privilegios ilegítimos. Corruptos no. La",7600,2600,1500,686000
1708599801846104186,2023-10-01 21:48:31,JMilei,"Aquí a punto de arrancar el debate con el futuro Secretario de Trabajo (Min. de Capital Humano) Gustavo Morón.

VIVA LA LIBERTAD CARAJO 

CC: @licpettovello",13000,802,1800,920000
1708606125166252526,2023-10-01 22:13:39,OrsiYamandu,La diferencia entre hacer las cosas “porque rinden” y hacerlas porque de verdad se sienten. Gracias equipo.,268,18,54,22000
1708623008309403955,2023-10-01 23:20:44,Kicillofok,"A las 21 acompañamos a 
@SergioMassa
 en el #Debate2023.

Tenemos con quién, tenemos con qué 

Seguilo en vivo desde las 21 hs. en la 
@TV_Publica
 ",3600,0,906,86000
1708630004702073307,2023-10-01 23:48:32,PatoBullrich,"En un rato empieza un momento muy importante para la democracia argentina. ¡Gracias por acompañarme!

Apoyame en las redes con #PatoPresidente.",8400,1400,2800,233000
1708634373195440444,2023-10-02 00:05:54,OrsiYamandu,"Orgullo, identidad y compromiso. Vale la pena ver este video. Vale la pera mirar un poco para adentro.",221,23,42,13000
1708637056216285273,2023-10-02 00:16:33,GugaLusto,"Felicitaciones a 
@GinoChiapello
 y a Juan Manuel Moroni, intendentes electos de Laboulaye y Bell Ville, Córdoba. El radicalismo y Juntos por el Cambio siguen sumando apoyos en todo el país.",190,8,36,10000
1708637877419028785,2023-10-02 00:19:49,GugaLusto,"Primera buena intervención de 
@PatoBullrich
 
#PatoPresidente 
#DebatePresidencial",360,106,94,31000
1708637895693656173,2023-10-02 00:19:53,PatoBullrich,"El kirchnerismo nos deja una Argentina arrasada, caótica. Milei está solo y por eso transa con lo peor de la política. Los argentinos necesitamos un cambio.

#DebatePresidencial #PatoPresidente",10000,1300,5600,489000
1708639429097566521,2023-10-02 00:25:59,madorni,"Se viene el “peso digital”.

Dios nos proteja.

Fin.",10000,395,1300,305000
1708639725114851354,2023-10-02 00:27:10,SergioMassa," #Debate2023 ""Quiero decirles que entiendo claramente las dificultades que enfrenta la Argentina y los problemas que tenemos que resolver. Entiendo también que la mejor forma de resolverlos es plantear soluciones, no hacer discursos fáciles y vacíos de contenido.""",16000,3200,6300,915000
1708639741078376475,2023-10-02 00:27:13,GugaLusto,"""Solo tres países no tienen Banco Central y si te los nombro ni sabés dónde quedan"". Clarísima 
@PatoBullrich
 sobre las inconsistencias de Javier Milei.

#DebatePresidencial",1800,456,401,96000
1708639776989946145,2023-10-02 00:27:22,PatoBullrich,"Lo importante no es lo que decís que vas a hacer, sino lo que realmente estás en condiciones de hacer. Necesitamos un plan serio, concreto y eficiente. 

#DebatePresidencial #PatoPresidente",6400,614,3100,258000
1708640690605895981,2023-10-02 00:31:00,Kicillofok,"#Debate2023
#MassaPresidente ",1600,0,508,49000
1708640845585400030,2023-10-02 00:31:37,GugaLusto,"""Hiciste todo mal Massa, ¿y ahora nos querés decir que como Presidente vas a hacer algo distinto?"" 
@PatoBullrich
 

#PatoPresidente
#DebatePresidencial",936,107,249,29000
1708640879546699792,2023-10-02 00:31:45,PatoBullrich,"Massa: explicale a los argentinos cómo siendo el peor ministro de Economía podés ser un buen presidente.

#DebatePresidencial #PatoPresidente",15000,971,6800,686000
1708641444359975325,2023-10-02 00:34:00,madorni,Hasta Myriam Bregman le está ganando a Sergio Massa. Fin.,3900,59,407,77000
1708641829732700498,2023-10-02 00:35:31,Kicillofok,"#Debate2023 
#MassaPresidente ",4300,0,1200,83000
