comment_user,gender,model
__________________gs,0,openai/gpt-4o-mini-2024-07-18
_____________lizz,F,openai/gpt-4o-mini-2024-07-18
____________tattoo,0,openai/gpt-4o-mini-2024-07-18
___________alma______________,F,openai/gpt-4o-mini-2024-07-18
___________irkut_mc_21________,M,openai/gpt-4o-mini-2024-07-18
___________vivi___________,F,openai/gpt-4o-mini-2024-07-18
__________luli___,F,openai/gpt-4o-mini-2024-07-18
__________raimundozequinha,M,openai/gpt-4o-mini-2024-07-18
__________rena_,F,openai/gpt-4o-mini-2024-07-18
________alvaro_________,M,openai/gpt-4o-mini-2024-07-18
________maluuuuuuu,F,openai/gpt-4o-mini-2024-07-18
________soycari,F,openai/gpt-4o-mini-2024-07-18
_______gabi22,F,openai/gpt-4o-mini-2024-07-18
_______una.persona,0,openai/gpt-4o-mini-2024-07-18
_____fermolina,F,openai/gpt-4o-mini-2024-07-18
_____lucila_,F,openai/gpt-4o-mini-2024-07-18
_____martinmiguez_,M,openai/gpt-4o-mini-2024-07-18
_____micoldai,M,openai/gpt-4o-mini-2024-07-18
_____scoty____,M,openai/gpt-4o-mini-2024-07-18
_____sofiwitte,F,openai/gpt-4o-mini-2024-07-18
____agustina.g,F,openai/gpt-4o-mini-2024-07-18
____aska__________,0,openai/gpt-4o-mini-2024-07-18
____beldago,M,openai/gpt-4o-mini-2024-07-18
____gott_____,0,openai/gpt-4o-mini-2024-07-18
____graciela,F,openai/gpt-4o-mini-2024-07-18
____magush___,0,openai/gpt-4o-mini-2024-07-18
____marcvs____,M,openai/gpt-4o-mini-2024-07-18
____rous_,0,openai/gpt-4o-mini-2024-07-18
____sheissoheavy____,F,openai/gpt-4o-mini-2024-07-18
____veko_____,M,openai/gpt-4o-mini-2024-07-18
____vero_sosa,F,openai/gpt-4o-mini-2024-07-18
____xmxl,0,openai/gpt-4o-mini-2024-07-18
___.__mederalejofrias__.___,M,openai/gpt-4o-mini-2024-07-18
___.pxma.___,0,openai/gpt-4o-mini-2024-07-18
___ana.clara__,F,openai/gpt-4o-mini-2024-07-18
___analaurapinon,F,openai/gpt-4o-mini-2024-07-18
___andrey.nikolaev.45____,M,openai/gpt-4o-mini-2024-07-18
___arturosandes___,M,openai/gpt-4o-mini-2024-07-18
___bianca9,F,openai/gpt-4o-mini-2024-07-18
___chianirodrigo,M,openai/gpt-4o-mini-2024-07-18
___chikorita,F,openai/gpt-4o-mini-2024-07-18
___devilkill,0,openai/gpt-4o-mini-2024-07-18
___frano,M,openai/gpt-4o-mini-2024-07-18
___guillermo_,M,openai/gpt-4o-mini-2024-07-18
___loveistheanswer,0,openai/gpt-4o-mini-2024-07-18
___manuelaaaaaaa,F,openai/gpt-4o-mini-2024-07-18
___mariel__,F,openai/gpt-4o-mini-2024-07-18
___mary.art,F,openai/gpt-4o-mini-2024-07-18
___mmecha,F,openai/gpt-4o-mini-2024-07-18
___morocha_,F,openai/gpt-4o-mini-2024-07-18
___n1ck0___,M,openai/gpt-4o-mini-2024-07-18
___pablo.r,M,openai/gpt-4o-mini-2024-07-18
___paisa,0,openai/gpt-4o-mini-2024-07-18
___rafa.32,M,openai/gpt-4o-mini-2024-07-18
___syv___,0,openai/gpt-4o-mini-2024-07-18
___vaalennn,F,openai/gpt-4o-mini-2024-07-18
___yas.a,F,openai/gpt-4o-mini-2024-07-18
__.jasonsoares,M,openai/gpt-4o-mini-2024-07-18
__.lucia___,F,openai/gpt-4o-mini-2024-07-18
__.she_is_art._,F,openai/gpt-4o-mini-2024-07-18
__.soyunapapa.x__,M,openai/gpt-4o-mini-2024-07-18
__adrian.ramirez,M,openai/gpt-4o-mini-2024-07-18
__adrii__rug_na,F,openai/gpt-4o-mini-2024-07-18
__aguschocobar__,F,openai/gpt-4o-mini-2024-07-18
__alemedina,M,openai/gpt-4o-mini-2024-07-18
__aleruggeri,M,openai/gpt-4o-mini-2024-07-18
__alexandre89,M,openai/gpt-4o-mini-2024-07-18
__ali___.4,F,openai/gpt-4o-mini-2024-07-18
__almafuerte_,F,openai/gpt-4o-mini-2024-07-18
__alumbra_tu_alma__,F,openai/gpt-4o-mini-2024-07-18
__annabbel,F,openai/gpt-4o-mini-2024-07-18
__arseniko__,M,openai/gpt-4o-mini-2024-07-18
__barbie.dangerous,F,openai/gpt-4o-mini-2024-07-18
__beforethebeginning__,0,openai/gpt-4o-mini-2024-07-18
__benja__077,M,openai/gpt-4o-mini-2024-07-18
__benjaa23_,M,openai/gpt-4o-mini-2024-07-18
__berchy,M,openai/gpt-4o-mini-2024-07-18
__buchy__,0,openai/gpt-4o-mini-2024-07-18
__cantarina,F,openai/gpt-4o-mini-2024-07-18
__casandra.__,F,openai/gpt-4o-mini-2024-07-18
__cerri_,M,openai/gpt-4o-mini-2024-07-18
__christian_c,M,openai/gpt-4o-mini-2024-07-18
__cmercado,M,openai/gpt-4o-mini-2024-07-18
__d3by__,0,openai/gpt-4o-mini-2024-07-18
__d4mm,0,openai/gpt-4o-mini-2024-07-18
__dachelle,F,openai/gpt-4o-mini-2024-07-18
__damianb_,M,openai/gpt-4o-mini-2024-07-18
__daviddossantos,M,openai/gpt-4o-mini-2024-07-18
__dilan.l,M,openai/gpt-4o-mini-2024-07-18
__donla,F,openai/gpt-4o-mini-2024-07-18
__dylan077,M,openai/gpt-4o-mini-2024-07-18
__eem_mii__,0,openai/gpt-4o-mini-2024-07-18
__eliseoo__,F,openai/gpt-4o-mini-2024-07-18
__eliton_,M,openai/gpt-4o-mini-2024-07-18
__enfuga,0,openai/gpt-4o-mini-2024-07-18
__enzo_s1,M,openai/gpt-4o-mini-2024-07-18
__estella.marlene__,F,openai/gpt-4o-mini-2024-07-18
__facuruiz_,M,openai/gpt-4o-mini-2024-07-18
__flor.do.dia,F,openai/gpt-4o-mini-2024-07-18
__florbinsouok,F,openai/gpt-4o-mini-2024-07-18
__fran_james_,M,openai/gpt-4o-mini-2024-07-18
__fran115,M,openai/gpt-4o-mini-2024-07-18
__gbriel_,M,openai/gpt-4o-mini-2024-07-18
__jellium,0,openai/gpt-4o-mini-2024-07-18
__jjoaco,M,openai/gpt-4o-mini-2024-07-18
__jmd1708,0,openai/gpt-4o-mini-2024-07-18
__jocha,M,openai/gpt-4o-mini-2024-07-18
__joelmendez,M,openai/gpt-4o-mini-2024-07-18
__juan_aguilera__,M,openai/gpt-4o-mini-2024-07-18
__juan_lobo_escritor__,M,openai/gpt-4o-mini-2024-07-18
__juliianaa.__,F,openai/gpt-4o-mini-2024-07-18
__kaboooom__,0,openai/gpt-4o-mini-2024-07-18
__lat34_,0,openai/gpt-4o-mini-2024-07-18
__lauzeta,F,openai/gpt-4o-mini-2024-07-18
__leooramirezz,M,openai/gpt-4o-mini-2024-07-18
__loregonzalez,F,openai/gpt-4o-mini-2024-07-18
__loumoran,F,openai/gpt-4o-mini-2024-07-18
__lowrenz,M,openai/gpt-4o-mini-2024-07-18
__lucasmartinm__,M,openai/gpt-4o-mini-2024-07-18
__luis.sosa,M,openai/gpt-4o-mini-2024-07-18
__lulycarrizo,F,openai/gpt-4o-mini-2024-07-18
__m_i_a_u_,F,openai/gpt-4o-mini-2024-07-18
__ma.l.u,F,openai/gpt-4o-mini-2024-07-18
__marti.farias,M,openai/gpt-4o-mini-2024-07-18
